1.6069,0.25642,0.011016
0.28853,-0.43789,-0.41612
-0.74738,-0.44676,-0.70735
0.57104,0.047205,-0.64522
-0.74738,-0.44709,-0.23362
-0.55903,-0.37155,-0.46272
-1.2182,-0.30061,-0.15984
0.10018,-0.44676,0.4731
1.6069,-0.40767,-0.80831
0.19435,-0.25265,-0.7889
0.0060073,-0.35874,-0.14042
-1.1241,-0.31933,-0.47049
1.1361,-0.44544,1.0051
1.6069,-0.4241,-0.72677
1.5128,-0.39421,-0.32681
0.94774,-0.3722,0.36826
0.3827,-0.44314,-0.62193
1.5128,-0.43034,-0.85491
1.7953,-0.42771,-0.15207
-0.74738,-0.44741,-0.79278
-1.2182,-0.20996,0.014899
1.4186,-0.19157,-0.36564
-0.84155,-0.43986,-0.38117
-1.5008,-0.43099,0.32555
-0.088166,-0.44741,-0.29963
0.28853,-0.56959,-0.33458
-0.18234,-0.36366,0.14692
1.0419,-0.4103,-0.50932
0.47687,-0.52821,-0.012282
-0.46486,-0.36038,0.34884
1.5128,-0.17186,-0.12877
0.75939,-0.32327,-0.10936
1.7953,-0.43461,-0.19479
1.7011,-0.44741,-0.12489
0.94774,3.0455,0.30225
1.5128,-0.42672,-0.062762
-1.5008,-0.44971,0.41486
1.1361,-0.4484,5.4667
-0.46486,-0.28123,1.2381
-0.37068,-0.44741,-0.47049
0.28853,0.40191,-0.38117
0.85356,-0.43132,-0.30351
1.7953,-0.41326,-0.91704
1.2303,-0.27367,4.7911
1.6069,-0.41588,1.3895
-0.46486,-0.50358,-0.062762
1.6069,-0.56696,0.37603
0.28853,-0.44741,-0.12877
1.3244,-0.44741,-0.38117
-1.1241,-0.44741,0.40709
1.2303,-0.023408,0.030431
0.66522,-0.52755,-0.020049
-0.84155,-0.44741,-0.3074
0.10018,-0.47238,2.0535
-1.5949,-0.48124,-0.43942
-0.27651,-0.36761,-0.32681
-0.27651,-0.30816,-0.59863
0.57104,-0.34691,-0.95199
-0.088166,-0.43953,-0.2841
0.47687,-0.38862,5.9016
-0.84155,-0.44741,-0.4666
1.1361,-0.12259,2.1506
1.5128,-0.36563,-0.36564
-0.74738,-0.18795,0.51582
0.75939,-0.39684,0.38379
0.94774,1.6972,-0.64911
1.7953,-0.41457,1.0478
1.7011,-0.42804,0.057613
1.3244,-0.051653,-0.38894
-0.55903,3.567,-0.31516
1.5128,1.5018,-0.00063325
-0.93572,-0.4392,-0.33458
1.2303,-0.3548,-0.40447
1.3244,-0.43986,0.12751
0.19435,0.18876,-0.29963
1.1361,-0.3213,-0.31905
0.28853,-0.25627,-0.18314
1.3244,-0.41753,0.35273
0.75939,-0.44741,0.05373
1.3244,-0.44709,-0.19479
